year,1,2,3,4,5,6,7,8,9,10,11,12
1948,-99.90,-99.90,-99.90,-99.90,-99.90,-99.90,-99.90,-99.90,-99.90,-99.90,-99.90,-99.90
1949,-99.90,-99.90,-99.90,-99.90,-99.90,-99.90,-99.90,-99.90,-99.90,-99.90,-99.90,-99.90
1950,2.29,-0.57,-1.80,-2.50,1.41,1.27,3.01,0.52,-0.32,0.04,-1.72,-2.31
1951,-0.74,-1.66,0.11,-2.31,0.93,1.91,-0.86,-3.26,-0.26,0.59,0.48,0.04
1952,-1.07,-1.46,0.16,0.12,0.24,-0.40,-1.26,-0.95,-1.68,-0.42,-1.55,-0.26
1953,0.84,-0.25,1.73,-1.66,0.09,-0.71,-0.71,-1.41,0.58,0.00,0.16,0.73
1954,0.52,0.03,0.48,-0.29,-2.13,0.58,-1.50,0.29,-1.04,0.34,-0.51,-0.58
1955,-0.79,-1.69,0.25,-0.01,0.92,1.43,0.55,1.44,-1.21,-0.39,0.62,0.73
1956,-0.74,-0.89,0.33,-0.08,0.61,-1.47,1.13,-0.16,2.61,0.53,-1.51,0.38
1957,0.69,-1.73,0.45,-0.48,-1.42,2.45,-0.54,-1.81,-1.79,0.57,1.15,0.46
1958,-0.21,-0.14,2.15,0.38,-0.24,0.38,2.08,-0.81,3.31,0.55,0.56,-0.08
1959,-0.87,2.20,0.39,-0.07,-0.12,0.82,0.57,1.03,3.68,1.84,-0.88,-1.02
1960,0.06,0.15,3.27,-0.60,-1.30,0.02,0.86,1.58,-0.81,0.59,0.81,-1.97
1961,-0.52,0.19,-0.62,1.25,-0.38,-1.36,0.36,0.69,1.78,-1.05,-0.16,-0.26
1962,-0.62,-0.12,-0.33,-0.29,0.24,1.01,-0.42,1.40,-0.13,1.19,-2.00,-0.08
1963,-0.09,-1.07,2.08,-0.46,-1.84,0.97,0.85,-0.08,-0.77,0.60,0.51,0.18
1964,2.14,-0.23,1.42,0.93,0.70,1.77,0.36,3.04,0.80,-0.42,0.86,-0.27
1965,-0.37,1.46,-1.84,0.67,2.95,1.33,0.37,1.29,0.66,3.08,-0.40,-1.13
1966,-0.49,-0.02,1.50,0.08,0.06,0.84,-1.23,1.87,2.66,0.87,-2.94,-0.61
1967,0.34,-0.52,-0.01,-1.07,-0.18,1.86,1.25,-0.80,0.83,-0.25,-1.66,0.40
1968,0.62,-1.26,2.16,-0.01,0.16,1.26,2.57,-0.46,0.11,1.59,2.20,-0.58
1969,0.17,-2.12,1.61,0.56,0.99,2.16,1.61,-0.21,-0.68,2.33,-2.27,-0.96
1970,-0.14,-1.15,-4.17,-0.18,-0.20,0.36,1.15,2.40,-0.12,0.46,-0.35,0.81
1971,-1.57,0.38,-0.32,0.66,0.72,0.95,0.02,1.67,-0.30,1.94,-1.35,1.63
1972,0.56,-1.07,2.15,-0.57,0.03,0.91,-0.16,-1.63,1.22,0.47,-0.07,-0.21
1973,1.06,-0.89,-0.35,-0.32,-0.71,-0.00,1.35,1.67,2.91,1.34,-0.34,-0.34
1974,0.47,-1.65,-0.86,1.30,0.72,1.81,0.33,0.94,-0.55,-1.46,-0.27,0.48
1975,-0.22,1.35,0.85,-1.69,-0.51,0.97,0.45,2.24,-0.71,1.63,0.32,0.92
1976,0.61,0.86,-1.58,-0.68,-0.31,2.24,1.97,-1.00,1.69,0.96,-0.48,-1.78
1977,-0.49,-1.73,0.45,-1.01,-1.21,0.30,-0.01,-1.13,0.88,1.01,-0.87,0.33
1978,-0.63,-0.98,-0.24,1.22,0.10,-0.14,0.38,1.73,0.83,1.42,1.10,0.29
1979,-0.79,-0.20,-0.10,0.15,-0.83,0.78,-0.44,-0.42,-0.26,0.65,-1.54,0.19
1980,0.31,-0.30,-1.42,0.30,0.24,-1.86,0.45,1.18,-0.04,0.04,1.35,-1.17
1981,0.11,-1.13,0.90,1.37,0.07,-0.34,-1.08,-2.09,-0.73,-2.08,-1.23,-1.62
1982,0.30,1.32,0.75,-0.29,0.10,2.17,-0.20,-0.11,-0.49,0.53,0.16,0.02
1983,1.31,0.47,-0.03,-1.85,-0.36,0.75,-0.98,0.98,0.93,0.37,1.72,-0.98
1984,-2.06,-1.78,-2.14,0.64,-1.72,-0.17,0.32,2.08,-0.63,-0.17,1.18,0.06
1985,-0.34,0.38,0.18,0.48,-0.14,1.06,1.71,0.63,0.54,1.69,-0.88,-0.05
1986,-1.11,-0.07,1.35,-1.62,0.72,-0.19,0.87,0.80,1.96,1.19,-0.05,1.42
1987,0.82,-0.03,0.48,1.85,-0.18,-0.96,-0.71,-0.98,1.70,-2.46,0.17,1.22
1988,-1.09,-1.44,-2.23,0.39,-1.03,-1.14,-0.73,0.54,0.39,0.19,1.19,0.75
1989,1.14,-0.23,-0.28,-1.11,-0.04,-1.20,-2.04,0.05,-1.12,0.99,0.55,0.07
1990,0.18,-0.14,-0.03,-1.11,2.25,-0.54,0.54,0.45,0.33,0.66,1.24,-0.63
1991,0.93,-0.67,0.30,-1.28,-0.81,-1.17,1.35,0.43,0.48,-0.86,-0.69,1.99
1992,2.49,0.92,-0.70,0.77,1.53,1.55,1.15,0.99,-1.40,1.53,0.13,0.36
1993,0.64,1.83,0.43,0.39,-0.87,0.87,-0.21,-0.33,2.23,0.99,0.58,-0.95
1994,-1.21,1.14,-1.77,-0.82,0.82,-0.15,1.69,0.79,-0.82,-0.25,2.17,1.35
1995,-1.11,-0.60,0.56,-1.18,-0.82,0.15,0.99,0.83,-1.20,0.54,0.52,0.69
1996,-0.47,-1.29,-1.23,0.72,0.01,-0.50,-0.67,0.88,1.47,0.14,-2.39,-0.82
1997,1.68,0.61,-0.55,1.52,0.73,1.26,1.14,-0.57,0.31,1.30,1.52,0.26
1998,0.55,2.72,-1.11,0.55,-0.60,-1.56,-1.25,0.12,0.54,-0.53,-0.22,-0.67
1999,-0.89,-0.57,1.39,0.42,1.66,-0.74,0.80,1.17,-0.50,-0.61,-0.43,-0.93
2000,0.65,0.10,-1.13,-0.95,0.96,-0.34,-1.64,1.17,1.19,-1.45,-0.90,-0.77
2001,-0.85,0.12,-0.35,-0.59,1.48,0.48,-0.62,0.53,-1.08,0.54,-0.67,0.46
2002,0.70,-0.56,0.39,-0.38,0.52,0.18,-0.65,0.09,0.46,0.78,0.45,1.60
2003,-0.39,0.87,1.24,0.31,-0.85,1.79,-0.23,-1.58,-1.04,-0.58,0.32,0.31
2004,-0.35,0.63,0.87,0.90,-0.12,-0.06,-0.28,-1.22,-0.17,-0.43,0.10,0.24
2005,0.08,-0.65,0.40,-0.02,-1.30,0.36,0.22,-1.60,-0.91,-0.88,-1.14,-0.71
2006,0.82,-0.61,1.52,-0.86,-0.93,-1.07,1.01,-0.97,0.41,0.50,-0.27,1.31
2007,-0.00,0.74,-0.02,1.53,0.03,0.11,-0.30,-1.70,-0.77,-1.07,-0.50,0.28
2008,-0.64,0.12,-0.47,-0.38,0.71,0.06,0.53,-0.28,-0.77,-0.90,-1.28,-1.46
2009,-1.33,-1.17,0.18,1.26,0.21,1.23,0.70,-0.30,-0.22,0.34,-0.42,-0.82
2010,-0.55,-1.02,1.08,-0.67,-2.05,-1.91,-1.42,-0.77,-1.08,-0.03,-0.96,-1.99
2011,-0.38,0.58,0.08,1.23,-1.52,-0.33,-0.79,0.97,-0.29,0.12,2.08,-0.50
2012,-0.46,-0.64,1.35,-1.59,-0.47,0.01,-1.43,1.15,-0.49,-1.01,-0.59,-0.88
2013,0.46,-1.28,2.31,-0.40,-2.06,-2.30,-0.17,-1.94,-0.58,0.63,-0.88,-0.36
2014,-1.32,-1.93,-0.11,1.23,-1.45,0.03,-0.31,-1.69,0.47,-0.37,1.28,-0.44
2015,-0.24,-0.92,0.27,1.12,-1.50,-0.78,2.01,-0.37,-1.67,0.59,0.56,1.28
2016,-0.50,-2.39,0.26,-0.50,-1.99,-1.85,-1.01,-3.30,0.13,-1.33,-0.93,1.52
2017,0.63,1.14,-1.02,0.71,1.48,0.34,-0.58,-2.93,-2.52,-0.02,-1.21,-1.63
2018,-1.62,-1.40,4.03,0.49,-1.45,-0.24,-2.16,-0.47,-1.76,0.36,1.51,-0.43
2019,0.72,0.45,-1.15,0.82,-0.70,0.30,1.02,-1.68,0.79,-0.52,-0.59,0.15
2020,0.66,-0.06,0.57,1.82,-0.55,-2.01,-0.68,0.64,-0.94,-1.82,0.08,-1.11
2021,-1.34,0.83,2.98,-0.43,-1.22,-1.77,-0.49,-2.37,0.53,-0.62,0.01,-0.04
2022,1.11,-0.92,1.41,-0.09,0.90,-0.51,-1.17,-3.43,-1.05,-0.74,0.80,-1.15
2023,-0.61,1.54,1.99,-0.22,-2.21,0.37,-1.83,-2.35,-2.14,0.61,0.13,0.08
