year,1,2,3,4,5,6,7,8,9,10,11,12
1948,0.971,4.704,-0.896,-3.557,-1.479,-2.252,-1.277,0.960,0.369,-0.315,5.021,2.200
1949,5.430,4.361,-1.439,-0.154,-1.666,-1.579,-0.048,0.707,-0.233,3.522,-0.836,4.214
1950,2.644,2.077,3.091,1.923,2.211,1.014,-0.336,-0.236,0.170,-2.540,0.483,-1.545
1951,2.702,1.878,3.103,-3.880,-2.213,-0.903,-0.336,-0.872,-1.360,0.210,-1.165,-0.464
1952,-1.444,2.156,1.740,-1.652,0.535,0.015,-0.538,1.034,0.375,0.623,1.179,-2.297
1953,1.742,7.614,2.595,-0.952,-0.631,1.682,0.185,0.197,-0.722,1.669,-0.853,6.026
1954,0.500,1.101,-1.303,0.761,-1.173,0.498,0.403,1.899,1.242,0.072,-0.260,0.949
1955,2.308,7.473,4.596,1.630,3.862,1.871,1.333,1.983,1.979,2.494,3.016,-3.548
1956,-2.126,5.060,5.191,0.577,1.273,2.335,2.644,3.112,0.005,3.177,5.012,6.564
1957,0.984,-3.795,-0.273,-0.869,-4.281,-0.776,0.644,1.251,-3.812,-3.018,1.107,-0.040
1958,-2.567,-10.780,-5.996,0.264,-4.307,-0.981,-0.842,1.019,0.491,-0.190,1.675,-0.327
1959,-0.619,-2.560,5.528,-1.337,1.440,-1.197,-0.252,-0.814,2.204,-0.219,2.880,1.260
1960,-0.874,1.976,1.287,1.317,1.021,-0.536,0.222,1.076,2.478,-0.016,-0.192,1.775
1961,-1.773,6.931,-0.312,2.374,1.822,0.045,0.170,1.561,1.284,2.587,-0.486,3.942
1962,6.315,-3.386,-0.668,2.794,2.789,1.669,2.331,0.312,1.238,0.217,3.053,-0.706
1963,2.157,-2.644,1.516,-0.751,0.777,0.473,-1.075,1.156,-3.540,-2.380,-2.134,-0.291
1964,4.083,5.869,3.748,4.372,2.444,0.674,1.286,0.694,3.875,-0.211,1.038,-0.178
1965,1.544,4.769,0.574,-3.427,3.785,-0.584,-1.284,-1.344,-0.285,-0.636,-7.802,-1.142
1966,-0.281,0.768,0.258,-0.985,-1.600,-0.606,-0.095,0.336,-0.847,1.222,-3.075,-0.580
1967,2.648,5.800,-0.510,-1.076,2.152,-0.708,1.402,-0.237,-2.309,0.855,-3.208,1.122
1968,1.880,-4.044,-0.360,3.323,0.847,1.135,1.551,0.229,0.184,-0.473,-0.465,-2.024
1969,-5.651,-5.940,1.666,-1.301,-2.049,-2.288,0.632,-0.835,-0.444,-1.483,-1.270,-2.027
1970,-4.900,-3.812,1.829,4.095,2.671,-0.026,-0.264,0.458,2.210,-0.142,-3.005,1.076
1971,5.065,7.349,3.831,2.526,2.057,0.491,1.120,-0.427,0.790,3.652,3.086,2.492
1972,4.455,1.071,1.899,-0.093,-1.278,-1.259,-1.687,-1.633,-0.636,-2.359,-1.250,-0.200
1973,-2.303,-8.273,2.683,3.538,0.334,1.967,0.960,2.282,0.876,1.553,0.726,0.595
1974,0.560,5.932,-1.769,3.414,2.223,0.209,0.300,0.759,-0.324,2.549,1.337,4.283
1975,4.746,-0.692,-0.405,3.509,0.864,1.392,0.624,3.053,2.615,2.151,3.264,4.765
1976,5.938,2.330,4.956,-1.774,0.244,-0.622,-1.251,-0.653,-1.777,0.778,0.032,0.625
1977,0.306,4.662,4.331,0.704,-1.105,0.206,1.129,-2.197,-1.923,-0.706,0.418,-6.570
1978,-7.837,-6.265,-5.780,-2.177,3.151,2.891,2.047,1.419,1.318,0.830,0.989,1.565
1979,-3.011,0.203,-2.035,-0.973,-0.271,2.218,-2.333,-1.179,-1.069,-3.067,-1.940,-3.921
1980,-5.111,-8.808,1.919,-0.811,0.384,1.308,-0.727,-0.748,-1.227,0.112,2.172,-1.494
1981,-5.093,-0.531,-2.467,1.342,0.728,0.874,1.091,-0.833,1.382,-0.931,-2.930,-1.241
1982,1.537,-0.756,-4.487,-2.286,-0.294,-3.193,-0.650,-0.735,-1.199,-2.823,-5.642,-3.853
1983,-8.411,-12.164,-11.385,-5.171,-0.328,0.351,0.501,-0.987,-0.596,-0.867,-3.758,-4.060
1984,4.257,2.995,1.301,1.688,1.318,1.482,-1.165,1.063,0.632,1.620,-2.479,-0.324
1985,0.568,6.115,4.007,1.571,0.973,-1.071,-1.102,0.499,0.844,0.881,-0.695,-0.512
1986,-3.013,-5.391,-2.448,2.399,-1.489,-0.069,2.059,0.026,0.220,-1.132,2.168,-3.139
1987,0.291,-1.989,-5.518,-2.083,-1.593,-1.093,-3.163,-2.171,0.138,-3.031,0.566,-0.861
1988,0.300,2.772,7.241,-3.226,1.243,-0.313,0.160,-1.831,2.046,0.531,2.417,4.167
1989,8.678,3.284,-1.980,-0.508,2.382,-1.820,3.336,0.247,-0.732,0.908,0.928,0.474
1990,2.570,1.408,0.761,-1.401,-1.015,0.407,-1.779,-1.279,-0.368,0.942,3.355,3.352
1991,1.973,-1.423,-4.147,1.941,1.095,-0.023,-0.747,-0.861,-1.395,-0.972,1.875,-3.825
1992,-4.153,-8.402,-8.342,-3.277,-2.120,-2.053,-2.161,0.417,0.281,-2.741,0.898,-0.860
1993,-6.047,-7.893,-2.469,-0.714,-7.225,-1.215,-0.212,-2.359,-0.408,-3.037,-0.252,0.239
1994,1.699,-1.061,-1.000,-0.003,-0.914,1.000,-0.782,-0.926,-1.407,-1.600,1.356,-2.533
1995,-11.749,-2.735,-4.533,-0.973,-1.434,-0.292,-1.075,-1.786,-0.161,1.310,0.830,-1.400
1996,1.090,-3.874,-1.118,0.299,-1.566,1.471,0.022,0.935,1.728,2.151,1.419,-1.733
1997,-2.977,6.571,2.004,-0.950,-4.599,-2.225,-0.972,-3.765,-4.213,-1.741,-8.608,-2.092
1998,-8.112,-10.934,-3.578,-0.944,-2.547,1.351,0.856,1.579,-1.561,1.959,0.938,8.101
1999,4.302,3.174,0.822,4.186,2.295,0.057,-0.469,-1.651,-1.651,0.012,-2.029,6.941
2000,0.929,-4.992,3.324,-0.614,-0.812,-1.944,1.526,0.997,-0.590,1.530,4.215,1.911
2001,1.310,2.013,0.853,2.209,-0.607,1.430,0.528,-0.027,-0.811,0.734,-2.977,-0.805
2002,2.848,2.942,1.664,0.226,-0.127,0.495,-1.938,-0.310,-2.719,-0.016,-1.922,-5.861
2003,-2.517,-0.073,-0.570,-2.628,-0.762,-2.216,0.286,0.091,-1.554,0.414,-0.763,-1.635
2004,-0.554,-0.219,5.007,0.078,1.529,0.547,-1.063,-0.766,0.674,-2.109,4.444,0.037
2005,-2.242,-5.398,-0.002,0.287,-2.468,1.027,-0.195,-0.757,3.341,2.172,3.332,-1.886
2006,4.121,2.257,-0.108,-0.886,-0.660,-0.154,-0.913,-0.472,0.579,-1.143,0.905,2.745
2007,8.058,2.207,5.106,1.956,2.032,3.25,-1.612,-1.554,1.379,2.134,3.971,7.032
2008,1.343,5.692,8.118,4.419,0.569,1.47,-1.584,-1.437,-0.095,2.203,2.515,4.223
2009,6.754,-1.159,4.57,3.125,1.11,-2.38,0.195,-0.257,1.42,-0.416,1.02,-3.436
2010,-8.052,-6.329,-0.178,-1.751,3.498,2.772,-0.044,0.429,1.166,1.905,4.024,-2.89
2011,5.233,4.645,0.887,3.593,0.947,-0.365,-0.393,0.467,0.291,1.415,1.716,7.887
2012,4.865,3.723,0.165,-1.349,2.668,0.168,1.868,-1.316,2.833,-0.19,-2.34,0.023
2013,6.643,8.002,2.063,2.727,1.356,1.163,0.47,-1.299,-0.257,0.932,0.144,4.973
2014,3.977,-0.953,-0.602,1.158,1.391,0.565,-0.953,-1.605,-3.836,-3.229,-1.818,-2.97
2015,2.083,-1.67,0.931,0.631,-2.497,-1.473,-4.051,-3.224,-2.707,-4.079,2.093,1.549
2016,-6.935,0.825,-2.065,-1.135,0.272,1.559,1.753,0.404,3.795,-1.928,-0.487,2.524
2017,-1.788,-4.725,2.897,-0.849,0.702,-1.26,1.494,-0.59,-0.104,3.587,-1.122,3.408
2018,2.872,6.484,-0.816,1.226,-0.08,0.753,1.353,0.564,0.625,-0.584,0.013,2.687
2019,-2.519,-4.261,-1.829,1.068,-2.324,0.534,0.429,-1.844,-0.722,0.875,-1.041,-3.166
2020,4.926,6.851,-0.6,1.467,-1.671,0.942,0.577,-0.463,-0.276,1.612,1.998,5.096
2021,2.624,7.788,3.533,1.231,3.647,-1.396,1.899,-0.326,2.405,1.03,3.225,-0.727
2022,3.742,8.085,4.665,3.27,3.374,0.653,0.204,0.179,-0.33,2.508,3.61,0.148
2023,-1.848,5.64,-1.635,3.066,-2.671,0.523,0.189,-2.002,-0.299,-3.826,-3.036,-3.54
