year,1,2,3,4,5,6,7,8,9,10,11,12
1948,0.38,1.60,1.12,0.26,0.86,1.17,1.48,2.02,0.67,1.35,0.15,1.19
1949,2.38,0.65,0.63,0.89,0.83,1.57,2.49,1.35,1.52,0.79,0.25,0.90
1950,0.58,0.73,0.39,0.23,0.13,0.80,3.14,0.91,1.26,0.10,0.16,0.08
1951,1.22,0.50,0.53,1.31,0.79,0.18,1.60,3.80,0.36,1.09,0.86,1.52
1952,1.44,0.45,1.68,1.66,0.50,0.70,1.88,2.10,1.00,0.00,1.83,0.82
1953,0.28,0.62,0.82,0.55,0.54,0.36,2.81,1.64,0.07,0.72,0.75,0.46
1954,1.01,0.38,2.01,0.10,0.99,0.52,2.60,2.03,1.35,0.74,0.12,0.35
1955,1.40,0.56,0.13,0.48,1.26,0.50,2.94,3.48,0.43,0.25,0.36,0.58
1956,1.02,0.57,0.09,0.27,0.37,0.44,1.84,1.15,0.05,0.48,0.10,0.17
1957,2.30,0.64,1.18,0.93,1.40,0.50,2.47,3.15,0.10,3.05,1.25,0.39
1958,0.43,1.33,2.23,1.32,0.74,0.57,1.40,2.45,2.21,1.01,0.68,0.16
1959,0.27,0.96,0.20,0.69,0.75,0.81,1.77,3.50,0.34,2.20,0.49,2.21
1960,1.43,0.85,0.64,0.27,0.39,0.80,1.65,1.34,1.07,2.38,0.36,0.89
1961,0.68,0.32,1.24,0.52,0.21,0.49,1.91,3.51,1.44,1.14,0.74,1.45
1962,1.21,0.98,0.72,0.19,0.20,0.55,1.76,0.62,2.10,0.94,0.93,0.82
1963,0.65,1.30,0.66,0.32,0.30,0.40,1.17,3.74,1.53,0.97,1.01,0.17
1964,0.30,0.54,0.87,0.80,0.43,0.25,2.20,2.45,1.91,0.27,0.92,1.05
1965,1.35,1.08,0.99,1.38,0.97,1.48,2.44,1.86,1.58,0.63,1.39,3.49
1966,0.67,0.95,0.27,0.30,0.25,1.05,2.12,2.70,1.45,0.44,0.57,1.26
1967,0.34,0.19,0.50,0.30,0.50,1.14,3.06,3.12,1.53,0.28,0.65,2.91
1968,0.43,0.97,1.15,0.59,0.49,0.25,2.73,2.57,0.20,0.52,0.86,0.85
1969,1.39,0.95,0.92,0.58,1.25,0.90,2.34,2.51,1.67,1.69,0.88,0.69
1970,0.16,0.37,1.98,0.54,0.26,0.55,2.15,2.22,2.04,0.71,0.39,0.53
1971,0.29,0.62,0.17,0.50,0.52,0.18,2.04,3.28,1.88,1.79,0.71,1.32
1972,0.08,0.06,0.07,0.08,0.56,1.07,1.70,2.18,1.47,3.94,1.29,1.10
1973,0.65,1.46,2.90,0.54,0.93,0.63,1.99,1.17,0.71,0.27,0.61,0.22
1974,1.64,0.21,0.77,0.26,0.12,0.32,2.21,1.79,1.18,2.70,0.52,0.65
1975,0.66,0.90,1.41,0.89,0.34,0.32,2.40,1.01,2.08,0.16,1.05,0.62
1976,0.19,1.43,0.51,0.95,0.91,0.27,2.30,1.39,2.09,0.68,0.43,0.26
1977,1.15,0.28,0.46,0.92,0.72,0.55,2.29,2.46,1.36,0.93,0.74,0.64
1978,2.12,1.76,2.26,0.45,1.32,0.79,1.20,1.40,0.77,1.36,3.07,2.37
1979,2.60,0.61,1.59,0.45,1.79,0.98,1.37,2.23,0.37,0.62,0.71,0.63
1980,2.26,2.60,1.33,0.92,0.93,0.14,1.11,1.57,1.14,0.52,0.26,0.30
1981,0.49,0.57,2.01,0.55,0.97,0.82,2.50,2.47,1.33,1.13,0.91,0.11
1982,1.34,1.34,1.64,0.24,1.10,0.35,2.03,3.09,1.78,0.36,1.67,2.06
1983,1.24,1.25,2.52,0.69,0.52,0.60,1.86,2.70,2.50,1.60,1.10,1.60
1984,0.51,0.16,0.78,0.79,0.39,1.05,2.64,3.21,1.65,1.92,0.79,2.71
1985,1.31,0.84,1.66,1.58,0.75,0.58,2.07,1.38,2.21,1.92,1.69,0.37
1986,0.20,1.29,1.34,0.81,0.91,1.49,2.39,2.55,1.81,1.63,1.79,1.27
1987,1.12,1.66,0.73,0.49,1.21,0.75,1.10,2.59,0.81,1.06,1.43,1.43
1988,1.11,0.69,0.25,1.70,0.69,1.36,2.04,3.83,1.28,0.81,0.79,0.37
1989,1.35,0.68,0.63,0.08,0.50,0.51,2.01,1.85,0.81,1.15,0.07,0.42
1990,0.95,1.07,0.94,1.08,0.69,0.37,3.31,2.60,2.33,0.67,1.10,1.56
1991,0.88,0.70,2.46,0.08,0.68,1.04,1.97,2.40,1.71,0.60,1.72,1.86
1992,1.07,1.36,2.24,0.41,2.00,0.66,2.02,3.34,0.56,0.66,0.53,2.57
1993,3.88,2.42,1.17,0.22,0.87,0.46,0.82,3.84,0.62,1.03,1.47,0.29
1994,0.30,1.09,1.38,0.99,1.50,0.49,1.30,2.24,1.54,1.32,1.56,1.59
1995,1.89,1.14,1.35,0.97,1.23,0.70,0.88,2.27,1.72,0.07,0.52,0.42
1996,0.35,0.87,0.43,0.10,0.16,1.17,2.26,2.18,1.85,1.21,0.87,0.23
1997,1.80,0.98,0.14,1.38,0.88,1.01,1.54,2.63,2.26,0.79,0.84,1.80
1998,0.44,2.26,1.79,0.76,0.14,0.11,3.09,2.14,1.20,2.21,1.00,0.33
1999,0.30,0.27,0.50,1.95,1.00,0.79,3.43,3.12,1.60,0.18,0.03,0.14
2000,0.42,0.44,2.06,0.33,0.09,1.05,1.14,2.27,0.27,3.54,0.93,0.30
2001,1.57,1.00,1.13,0.87,0.74,0.44,1.76,2.35,0.48,0.37,0.62,0.73
